conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,дослідник з обробки й аналізу даних/дослідниця з обробки й аналізу даних,released,,"Дослідники з обробки й аналізу даних знаходять і інтерпретують масштабні джерела даних, керують великими обсягами даних, об’єднують джерела даних, забезпечують узгодженість наборів даних і створюють візуалізації, які допоможуть зрозуміти ці дані. Вони будують математичні моделі, використовуючи дані, представляють і передають інформацію про дані та висновки фахівцям і вченим у своїй команді та в разі потреби не експертній аудиторії, і рекомендують способи застосування цих даних.
	",http://data.europa.eu/esco/isco/C2511,Системні аналітики
Occupation,http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372,викладач управління бізнесом закладу вищої освіти/викладачка управління бізнесом закладу вищої освіти,released,,"Викладачі управління бізнесом закладу вищої освіти — це професори, вчителі або викладачі предметів, які навчають учнів, які отримали диплом про повну середню освіту у своїй спеціальній галузі навчання — бізнесі, яка має переважно академічний характер. Вони працюють зі своїми університетськими науковими помічниками та університетськими помічниками викладачів \nдля підготовки лекцій та іспитів, для оцінювання робіт та іспитів, а також для проведення оглядів та відгуків щодо учнів. Вони також проводять наукові дослідження у своїй галузі управління бізнесом, публікують свої висновки та підтримують зв’язок з іншими колегами з університету.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
Occupation,http://data.europa.eu/esco/occupation/306e9867-cf55-446f-88c6-8adad5369f8c,викладач природничих наук закладу вищої освіти/викладачка природничих наук закладу вищої освіти,released,,"Викладачі природничих наук закладу вищої освіти – це професори, викладачі або лектори, які спеціалізуються на певних предметах і навчають студентів, що отримали диплом про повну середню освіту, у своїй власній спеціалізованій галузі навчання, природничих науках, яка носить переважно академічний характер. Спільно з науковими співробітниками та асистентами викладачів університетів вони готують лекції та іспити, оцінюють роботи й іспити, а також займаються атестацією і розбиранням робіт учнів. Вони також проводять академічні дослідження у відповідній галузі природничих наук, публікують свої висновки та взаємодіють із колегами з інших університетів.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
Occupation,http://data.europa.eu/esco/occupation/35d41f4f-334b-452e-9e31-99f376302493,інженер з оптоелектроніки/інженерка з оптоелектроніки,released,,"Інженери з оптоелектроніки проєктують і розробляють оптоелектронні системи та пристрої, як-от ультрафіолетові датчики, фотодіоди та світлодіоди. Оптоелектронна інженерія поєднує оптичну інженерію з електронною інженерією під час проєктування цих систем і пристроїв. Вони проводять дослідження, виконують аналізи, тестують пристрої та контролюють дослідження.
	",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,інженер-електронік/інженерка-електронік
Occupation,http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,дослідник в галузі соціальної роботи/дослідниця в галузі соціальної роботи,released,,"Дослідники в галузі соціальної роботи керують дослідницькими проєктами, спрямованими на дослідження та надання звітів із соціальних питань. Спочатку вони проводять дослідження, збираючи інформацію за допомогою інтерв’ю, фокус-груп і анкет; а потім організовують і аналізують зібрану інформацію за допомогою пакетів комп’ютерних програм. Вони аналізують соціальні проблеми та потреби, а також різні способи та методи реагування на них.
	",http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,соціолог/соціологиня
Occupation,http://data.europa.eu/esco/occupation/3c305542-a51b-4b96-8d45-af11ca05eaa2,викладач ветеринарної медицини закладу вищої освіти/викладачка ветеринарної медицини закладу вищої освіти,released,,"Викладачі ветеринарної медицини закладу вищої освіти — це професори, вчителі або викладачі, і часто лікарі, які навчають студентів, котрі отримали диплом про повну середню освіту, у своїй спеціальній галузі досліджень — ветеринарній медицині, яка має переважно академічний характер. Вони працюють зі своїми університетськими науковими помічниками та університетськими помічниками викладачів для підготовки лекцій та іспитів, для проведення лабораторних практик і для оцінювання робіт та іспитів, а також для проведення оглядових зустрічей та обміну думками зі студентами. Вони також проводять наукові дослідження у своїй відповідній галузі ветеринарної медицини, публікують їхні результати та підтримують зв’язок з іншими з університетськими колегами.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
Occupation,http://data.europa.eu/esco/occupation/3d7a1284-824c-47d9-8387-b8e1cd5888b5,викладач стоматології закладу вищої освіти/викладачка стоматології закладу вищої освіти,released,,"Викладачі стоматології закладу вищої освіти — це професори, вчителі або викладачі , і часто лікарі, які навчають студентів, котрі отримали диплом про повну середню освіту, у своїй спеціальній галузі досліджень — стоматології, яка має переважно академічний характер. Вони працюють зі своїми університетськими науковими помічниками та університетськими помічниками викладачів для підготовки лекцій та іспитів, для проведення лабораторних практик і для оцінювання робіт та іспитів, а також для проведення оглядових зустрічей та обміну думками зі студентами. Вони також проводять наукові дослідження у своїй відповідній галузі стоматології, публікують їхні результати та підтримують зв’язок з іншими з університетськими колегами.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
Occupation,http://data.europa.eu/esco/occupation/3dbd758c-6dc0-41fe-8248-2250c9bfa4ab,кліматолог/кліматологиня,released,,"Кліматологи вивчають середню зміну погоди та клімату у довгостроковій перспективі. Вони досліджують і аналізують історичні погодні умови, щоб спрогнозувати тенденції кліматичних умов, як-от зміни температури, глобальне потепління або регіональні еволюційні погодні умови. Вони використовують ці висновки для консультацій щодо екологічної політики, будівництва, сільськогосподарських проєктів і соціальних питань.
	",http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,метеоролог/метеорологиня
Occupation,http://data.europa.eu/esco/occupation/3f7b7ce5-94b6-4e0c-98e7-a4ee5a6accf4,токсиколог/токсикологиня,released,,"Токсикологи вивчають вплив хімічних речовин або біологічних і фізичних агентів на живі організми, тобто на навколишнє середовище, на здоров’я тварин і людей. Вони визначають дози взаємодії з речовинами, яких було б достатньо для виникнення токсичних ефектів у навколишньому середовищі, у людей і живих організмів, а також проводять досліди на тваринах і культурах клітин.
	",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,біолог/біологиня
Occupation,http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,біхевіорист-дослідник/біхевіористка-дослідниця,released,,"Біхевіористи досліджують, спостерігають і описують поведінку людини в суспільстві. Вони роблять висновки про мотиви, які спонукають людей до вчинків, спостерігають за різноманітними обставинами певної поведінки та описують різні особистості. Вони надають консультації організаціям і державним установам, які працюють у цій галузі. Вони також можуть займатися аналізом поведінки тварин.
	",http://data.europa.eu/esco/isco/C2632,"Соціологи, антропологи й пов’язані з ними професіонали"
Occupation,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,викладач журналістики закладу вищої освіти/викладачка журналістики закладу вищої освіти,released,,"Викладачі журналістики закладу вищої освіти — це професори, вчителі або викладачі предметів, які навчають учнів, які отримали диплом про повну середню освіту у своїй спеціальній галузі навчання — журналістики, яка має переважно академічний характер. Вони працюють зі своїми університетськими науковими помічниками та університетськими помічниками викладачів для підготовки лекцій та іспитів, для оцінювання робіт та іспитів, а також для проведення оглядів та відгуків щодо учнів. Вони також проводять наукові дослідження у своїй відповідній галузі журналістики, публікують свої висновки та підтримують зв’язок з іншими колегами з університету.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
Occupation,http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,викладач із систем комунікацій закладу вищої освіти/викладачка із систем комунікацій закладу вищої освіти,released,,"Викладачі із систем комунікацій закладу вищої освіти — це професори, вчителі або викладачі предметів, які навчають учнів, які отримали диплом про повну середню освіту у своїй спеціальній галузі навчання — системі комунікацій, яка має переважно академічний характер. Вони працюють зі своїми університетськими науковими помічниками та університетськими помічниками викладачів для підготовки лекцій та іспитів, для оцінювання робіт та іспитів, а також для проведення оглядів та відгуків щодо учнів. Вони також проводять наукові дослідження у своїй галузі системи комунікацій, публікують свої висновки та підтримують зв’язок з іншими колегами з університету.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
Occupation,http://data.europa.eu/esco/occupation/4b759f0e-8fec-4cf5-80d4-d112a9fd4e51,океанограф/океанографиня,released,,"Океанографи вивчають і проводять дослідження питань, пов’язаних з морем і океанами. Океанографи розподіляють свій досвід у різних галузях досліджень: фізичні океанографи, чиї дослідження зосереджені на хвилях і припливах, хімічні океанографи, чиї дослідження вивчають хімічний склад морських вод, і геологічні океанографи, чиї дослідження стосуються дна морів.
	",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,геолог/геологиня
Occupation,http://data.europa.eu/esco/occupation/4e8a5d3e-66de-4661-9927-ef3123cc79e9,викладач архітектури закладу вищої освіти/викладачка архітектури закладу вищої освіти,released,,"Викладачі архітектури закладу вищої освіти – це професори, викладачі або лектори, які спеціалізуються на певних предметах і навчають студентів, що отримали диплом про повну середню освіту, у своїй власній спеціалізованій галузі навчання, архітектурі, яка носить переважно академічний характер. Спільно з науковими співробітниками та асистентами викладачів університетів вони готують лекції та іспити, оцінюють роботи й іспити, а також займаються атестацією і розбиранням робіт студентів. Вони також проводять академічні дослідження у відповідній галузі архітектури, публікують свої висновки та взаємодіють із колегами з інших університетів.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
Occupation,http://data.europa.eu/esco/occupation/4f4d33a1-0b41-4dd9-8a42-aeba5a3974ab,інженер-проєктувальник датчиків/інженерка-проєктувальниця датчиків,released,,"Інженери-проєктувальники датчиків проєктують і розробляють датчики, сенсорні системи та продукти, які оснащені датчиками. Вони планують і контролюють виробництво цих продуктів.
	",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,інженер-електронік/інженерка-електронік
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,політолог/політологиня,released,,"Політологи вивчають політичну поведінку, діяльність і системи, включно з елементами, які підпадають під них. Їхнє вивчення галузі варіюється від походження та еволюції різних політичних систем до актуальних питань, як-от процеси прийняття рішень, політична поведінка, політичні тенденції, суспільство та перспективи влади. Вони консультують уряди та інституційні організації з питань управління.
	",http://data.europa.eu/esco/isco/C2633,"Філософи, історики й політологи"
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,психолог/психологиня,released,,"Психологи вивчають поведінку і психічні процеси людини. Вони надають послуги клієнтам, які мають проблеми з психічним здоров’ям і життєві проблеми, як-от втрата близької людини, труднощі у стосунках, домашнє та сексуальне насильство. Вони також надають консультації з питань психічного здоров’я, зокрема розладів харчування, посттравматичних стресових розладів і психозів, щоб допомогти клієнтам реабілітуватися та досягти здорової поведінки.
	",http://data.europa.eu/esco/isco/C2634,Психологи
Occupation,http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,гідролог/гідрологиня,released,,"Гідрологи досліджують і вивчають якість, поточні проблеми та розподіл води на Землі. Вони вивчають способи постачання води з річок, струмків і джерел, щоб розробити способи їхнього належного та сталого використання. Разом із групою спеціалістів різного профілю вони планують і розробляють способи водопостачання міст і міських районів, забезпечуючи при цьому ефективність і збереження ресурсів.
	",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,геолог/геологиня
Occupation,http://data.europa.eu/esco/occupation/557f9ccc-4e46-4bb2-8d20-272cd978b152,науковий співробітник (ветеринарна медицина)/наукова співробітниця (ветеринарна медицина),released,,"Наукові співробітники (ветеринарна медицина) розробляють та проводять дослідження на моделях тварин, порівнюють базову біологію різних тварин і застосовують результати досліджень до різних видів, включно з людьми.
	",http://data.europa.eu/esco/isco/C2250,Ветеринари
Occupation,http://data.europa.eu/esco/occupation/55a785db-0636-41b8-950f-0b65abe5e81b,викладач фармацевтики закладу вищої освіти/викладачка фармацевтики закладу вищої освіти,released,,"Викладачі фармацевтики закладу вищої освіти — це професори, вчителі або викладачі предметів, які навчають учнів, які отримали диплом про повну середню освіту у своїй спеціальній галузі навчання — фармацевтиці, яка має переважно академічний характер. Вони працюють зі своїми університетськими науковими помічниками та університетськими помічниками викладачів для підготовки лекцій та іспитів, для проведення лабораторних практик, оцінювання робіт та іспитів, а також для проведення оглядів та відгуків щодо учнів. Вони також проводять наукові дослідження у своїй галузі фармацевтики, публікують свої висновки та підтримують зв’язок з іншими колегами з університету.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
Occupation,http://data.europa.eu/esco/occupation/574f3232-1d07-4034-8cac-c57ddbfff192,хімік-аналітик/хімік-аналітикиня,released,,"Хіміки-аналітики досліджують і описують хімічний склад речовин. Крім того, вони роблять висновки щодо поведінки таких речовин у різних умовах. Хіміки-аналітики відіграють важливу роль у дослідженні зв’язку між хімією та навколишнім середовищем, їжею, паливом і медициною. Вони використовують низку методів, таких як електрохроматографія, газова та високоефективна рідинна хроматографія та спектроскопія.
	",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,хімік/хімікиня
Occupation,http://data.europa.eu/esco/occupation/57a12047-4f1e-40ed-add5-9736923f231b,астроном/астрономка,released,,"Астрономи досліджують формування, структуру, властивості та розвиток небесних тіл і міжзоряної матерії. Вони використовують наземне та космічне обладнання для збору даних про космос для проведення дослідницьких робіт.
	",http://data.europa.eu/esco/isco/C2111,Фізики й астрономи
Occupation,http://data.europa.eu/esco/occupation/59a02420-91df-4e46-b37b-22e3fd8c11f0,викладач фізики закладу вищої освіти/викладачка фізики закладу вищої освіти,released,,"Викладачі фізики закладу вищої освіти — це професори, вчителі або викладачі, які навчають студентів, котрі отримали диплом про повну середню освіту, у своїй спеціальній галузі досліджень — фізиці, яка має переважно академічний характер. Вони працюють зі своїми університетськими науковими помічниками та університетськими помічниками викладачів \nдля підготовки лекцій та іспитів, для проведення лабораторних практик, оцінювання робіт та іспитів, а також для проведення оглядових зустрічей та обміну думками зі студентами. Вони також проводять наукові дослідження у своїй галузі фізики, публікують їхні результати та підтримують зв’язок з іншими університетськими колегами.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
Occupation,http://data.europa.eu/esco/occupation/5a282a39-5346-454a-b1ef-c1217c50e156,дослідник у галузі освіти/дослідниця у галузі освіти,released,,"Дослідники у галузі освіти виконують дослідження в галузі освіти. Вони прагнуть розширити знання про те, як працюють освітні процеси, освітні системи та їхній вплив на осіб (вчителів та учнів). Вони передбачають напрямки вдосконалення та розробляють плани впровадження інновацій. Вони консультують законодавців і політиків з питань освіти та допомагають у плануванні освітньої політики.
	",http://data.europa.eu/esco/isco/C2351,Професіонали з методів навчання
Occupation,http://data.europa.eu/esco/occupation/5ac65daa-0896-4193-9f0e-8b00746b78a1,молодший науковий співробітник університету/молодша науковий співробітниця університету,released,,"Молодші наукові співробітники університету проводять наукові дослідження для університету чи інституту, в якому працюють. Вони можуть допомагати професорам, з якими співпрацюють, своїм науковим керівникам у їхніх дослідженнях або розвивати власні дослідження у відповідній галузі згаданого професора.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
